bowler,phase,season,runs_conceded,legal_balls,wickets,overs,economy
CV Varun,Middle,2019,10.0,12,1,2.0,5.0
CV Varun,Middle,2021,515.0,468,24,78.0,6.6
CV Varun,Middle,2022,230.0,168,5,28.0,8.21
CV Varun,Middle,2023,190.0,144,11,24.0,7.92
CV Varun,Middle,2024,296.0,228,17,38.0,7.79
CV Varun,Middle,2025,256.0,192,10,32.0,8.0
CV Varun,Middle,2026,266.0,210,9,35.0,7.6
CV Varun,Powerplay,2019,25.0,6,0,1.0,25.0
CV Varun,Powerplay,2021,155.0,150,6,25.0,6.2
CV Varun,Powerplay,2022,43.0,30,0,5.0,8.6
CV Varun,Powerplay,2023,133.0,96,5,16.0,8.31
CV Varun,Powerplay,2024,34.0,24,2,4.0,8.5
CV Varun,Powerplay,2025,76.0,66,2,11.0,6.91
CV Varun,Powerplay,2026,40.0,12,0,2.0,20.0
D Ferreira,Death,2026,16.0,6,0,1.0,16.0
D Ferreira,Middle,2026,25.0,12,1,2.0,12.5
D Jansen,Death,2023,24.0,12,1,2.0,12.0
D Jansen,Middle,2023,13.0,6,0,1.0,13.0
D Jansen,Powerplay,2023,16.0,6,0,1.0,16.0
D Kalyankrishna,Death,2008,17.0,6,0,1.0,17.0
D Kalyankrishna,Middle,2008,70.0,42,2,7.0,10.0
D Madushanka,Middle,2026,20.0,12,0,2.0,10.0
D Madushanka,Powerplay,2026,16.0,12,1,2.0,8.0
D Pretorius,Death,2022,127.0,60,3,10.0,12.7
D Pretorius,Death,2023,19.0,12,0,2.0,9.5
D Pretorius,Middle,2022,83.0,66,4,11.0,7.55
D Pretorius,Middle,2023,9.0,12,0,2.0,4.5
D Salunkhe,Death,2008,7.0,6,0,1.0,7.0
D Salunkhe,Middle,2008,71.0,41,1,6.83,10.4
D Wiese,Death,2015,93.0,56,8,9.33,9.97
D Wiese,Death,2016,12.0,6,0,1.0,12.0
D Wiese,Middle,2015,198.0,138,3,23.0,8.61
D Wiese,Middle,2016,37.0,18,0,3.0,12.33
D Wiese,Middle,2023,15.0,6,0,1.0,15.0
D Wiese,Powerplay,2015,62.0,60,6,10.0,6.2
D Wiese,Powerplay,2023,23.0,12,0,2.0,11.5
